caption,entity_1,entity_2,image_name,index_1,index_2,id
A person is taking a picture in a bathroom mirror.,person,mirror,000000470754.jpg,2,10,397995
A dog is sleeping on the step by a blue door.,door,dog,000000475923.jpg,11,2,134505
a person sitting on a bench with a view of some mountains ,person,bench,000000353652.jpg,2,6,760901
a yellow box sitting on a keyboard on a laptop ,laptop,keyboard,000000275644.jpg,10,7,621280
A woman plays with a bird while in bed.,bed,bird,000000097800.jpg,9,6,535870
A person jumping over a hill on a snowboard.,person,snowboard,000000190689.jpg,2,9,392929
A manipulated photo of a dog in a mirror with and without a collar.,mirror,dog,000000568788.jpg,10,7,315973
A man and dog stand next to a horse.,horse,dog,000000366811.jpg,9,4,72381
The cat is looking up at the plate,cat,plate,000000255420.jpg,2,8,577282
there is a cat peeking out of a window,cat,window,000000313738.jpg,4,9,277717
Two people sit in the bed of a pickup truck holding dogs.,bed,truck,000000490199.jpg,6,10,239313
"A bathroom area with sink, counter and decorative mirror.",mirror,sink,000000019023.jpg,10,5,257584
A cat sticking its head in a toilet.,cat,toilet,000000086687.jpg,2,8,779360
A sandwich cut in half on a plate.,sandwich,plate,000000051618.jpg,2,8,295089
A man in white turban using a laptop on chair.,chair,laptop,000000332547.jpg,10,8,379317
A person holding a skateboard over their head,person,skateboard,000000324145.jpg,2,5,284599
"A picture of an egg sandwich with sprouts, onions, lettuce and tomato on a white plate. ",sandwich,plate,000000478833.jpg,6,18,466284
A laptop computer sitting on a desk next to a desktop monitor.,desk,laptop,000000536514.jpg,8,2,162495
a cat in brown and white lying near a shoe,shoe,cat,000000224793.jpg,10,2,521129
An unfinished bathroom with a sink and toilet.,toilet,sink,000000106363.jpg,8,6,519174
"A bathroom is shown with a toilet, sink and bathtub.",toilet,sink,000000158344.jpg,7,9,260289
A couple of slices of pepperoni pizza on top of a plate.,pizza,plate,000000140304.jpg,7,12,815954
a woman sits on a couch with a wii remote in hand ,couch,remote,000000087151.jpg,6,10,789500
A dog laying in the grass with a yellow frisbee in its mouth,frisbee,dog,000000208913.jpg,10,2,399634
A person on a snowboard rides on the hill.,person,snowboard,000000295265.jpg,2,5,439967
"A bathroom shower, toilet and mirror that is decorated in tan tile.",mirror,toilet,000000169598.jpg,7,5,794720
A person is looking out the window at the airport.,person,window,000000393656.jpg,2,7,757688
 A man with a backpack and suitcase walks off,backpack,suitcase,000000435855.jpg,5,7,126315
"A day lays its head near a person's hand, which is holding a book.",person,book,000000532693.jpg,8,16,756226
a person standing by a train that is parked on the track ,person,train,000000229559.jpg,2,6,358921
A person holding a remote as it rests on a blanket.,person,remote,000000538822.jpg,2,5,702198
a lazy cat lies on a gray couch,couch,cat,000000159170.jpg,8,3,820205
a person that has a umbrella in his hand,person,umbrella,000000105622.jpg,2,6,793228
A baby hangs out of the car window next to the zebras,window,car,000000038513.jpg,8,7,726469
A person's hand giving a thumbs up in front of a suitcase.,person,suitcase,000000104487.jpg,2,13,304649
a pizza cut in pieces on a white plate,pizza,plate,000000269450.jpg,2,9,537654
A window with a view of a clock tower.,clock,window,000000197408.jpg,8,2,27153
A person on a motor bike next to a bus.,person,bus,000000513657.jpg,2,10,360050
A large brown dog laying on top of a bed next to a pillow.,bed,dog,000000203371.jpg,10,4,254736
A clock on a wall with woman holding an umbrella underneath.,umbrella,clock,000000389729.jpg,10,2,335206
A large dog is laying on top of a woman on a couch.,couch,dog,000000221840.jpg,13,3,605979
Man with umbrella sits on long bench in front of trees.,umbrella,bench,000000540978.jpg,3,7,390985
A person holding a surfboard on the edge of the water.,person,surfboard,000000252290.jpg,2,5,254659
A person is riding a horse hard in the dirt.,horse,person,000000529823.jpg,6,2,653126
A person standing in front of a train holding a pair of skis.,person,train,000000198447.jpg,2,8,75687
A cat is standing on a black suitcase.,cat,suitcase,000000208834.jpg,2,8,740194
A cat tail next to a mouse ,cat,mouse,000000061025.jpg,2,7,85782
a sink with apples with a large window in front,sink,window,000000112286.jpg,2,8,159929
"a white plate holding an empty glass, doily and a spoon.",spoon,plate,000000127712.jpg,13,3,340603
A grey and white cat watching water drain from a sink.,cat,sink,000000435316.jpg,5,11,176649
There is a person holding a blue frisbee,frisbee,person,000000321851.jpg,8,4,235438
A man walking past a window in the rain with an umbrella.,umbrella,window,000000355638.jpg,12,6,375639
An elephant removing a man's hat with its trunk.,elephant,hat,000000022423.jpg,2,7,344711
White cat eating out fom her bowl near a white wall.,cat,bowl,000000543686.jpg,2,8,766470
A cat sitting next to a red chair in a room.,chair,cat,000000267664.jpg,8,2,268101
A person on a snowboard performs a jump while two people watch.,person,snowboard,000000024375.jpg,2,5,742754
A gray cat has its paw wrapped around a Wii remote control.,cat,remote,000000373623.jpg,3,11,17680
A bloody hand in a fruit bowl holds an apple.,apple,bowl,000000312038.jpg,10,7,568225
a plate of food with various foods and a fork.,fork,plate,000000051453.jpg,10,2,741304
A man in glasses and a hat is in the grass cleaning a frisbee.,frisbee,hat,000000160823.jpg,14,7,283507
A laptop and a bottle on a wooden table.,bottle,laptop,000000541029.jpg,5,2,544246
A boat floating on the sea with its sail which has a picture of a horse on it unfurled.,horse,boat,000000521203.jpg,16,2,282189
A sandwich on a plate next to a mug on the table. ,sandwich,plate,000000496826.jpg,2,5,319968
an elephant on the back of a truck on a city street ,elephant,truck,000000541900.jpg,2,8,730898
A bathroom with a sink and mirror is shown.,mirror,sink,000000041737.jpg,7,5,366036
A person wearing a hat and swinging a tennis racquet.,person,hat,000000356824.jpg,2,5,769921
a woman sitting under an umbrella while reading a book ,umbrella,book,000000473499.jpg,6,10,728428
A man sits by a window with a beer typing on a laptop.,laptop,window,000000411733.jpg,13,6,178611
A piece of cheese cake with blueberry topping and a cup of coffee.,cup,cake,000000504980.jpg,11,5,327220
A man riding a horse standing next to a blue truck.,horse,truck,000000122871.jpg,5,11,152351
a lady sitting at a table eating a sandwich  chips and a bottle of water,bottle,sandwich,000000290201.jpg,13,9,510475
A stylized photo of a ripe banana sitting on a desk.,desk,banana,000000046615.jpg,12,8,203585
A person cutting into a chocolate cake with syrup on it.,person,cake,000000141163.jpg,2,7,789056
A person with a couple surfboards on the beach.,person,surfboard,000000531633.jpg,2,6,455010
A man on a motorcycle is looking in his mirror.,motorcycle,mirror,000000345560.jpg,5,10,701266
A cat sits inside of a bathroom sink.,cat,sink,000000054918.jpg,2,8,738874
People walking around and one person holding a decorated umbrella.,person,umbrella,000000519382.jpg,6,10,90756
A person laying down and looking at a laptop. ,person,laptop,000000209493.jpg,2,9,649383
A person sitting on  a snowboard going downhill,person,snowboard,000000096622.jpg,2,6,378494
A man is sitting on a bench with an umbrella.,umbrella,bench,000000195798.jpg,10,7,602874
A laptop computer with auxiliary keyboard on a wooden table.,laptop,keyboard,000000524286.jpg,2,7,750138
a person eating a hot dog next to other people ,person,dog,000000576810.jpg,2,6,504167
"A man holding an orange disc, stepping out from a creek bed.",orange,bed,000000045086.jpg,5,13,347373
"BATHTUB/SHOWER, TOILET, SINK AND ORGANIZER ON THE WALL",toilet,sink,000000174358.jpg,5,7,752355
A dog has a water bottle in his mouth. ,bottle,dog,000000406716.jpg,6,2,498305
An toilet and a sink in a worn and torn washroom.,toilet,sink,000000549644.jpg,2,5,42041
The cat is lazily laying on the bench.,cat,bench,000000168803.jpg,2,9,234914
A woman and a cat reflected in a mirror made of three circular sections,cat,mirror,000000000684.jpg,5,9,763413
A person with an umbrella walking in the rain,person,umbrella,000000261800.jpg,2,5,173349
A woman in white shirt opening a refrigerator with sink in background.,refrigerator,sink,000000105310.jpg,8,10,398631
a girl crouching next to a bench with a cat on it,cat,bench,000000565805.jpg,11,8,277680
A red teddy bear sitting on top of a big white empty bed.,bed,bear,000000075110.jpg,13,4,75863
A cat sits in a sink basin and puts its mouth to the faucet. ,cat,sink,000000286471.jpg,2,6,209590
"A person from the back with a bag slung over back, holding arm out to a standing elephant, near a wall, outside.",elephant,person,000000566681.jpg,20,2,762372
a man and a horse standing next to a big red truck,horse,truck,000000282431.jpg,5,12,628931
A woman that is holding a carrot in a bowl.,carrot,bowl,000000395888.jpg,7,10,536602
a bottle is sitting on top of a white sink,bottle,sink,000000037044.jpg,2,10,790055
"a bathroom with a sink, cabinets and a mirror.",mirror,sink,000000133273.jpg,10,5,225010
A man wearing a black suit and tie and wearing a hat.,tie,hat,000000569484.jpg,8,12,349462
A bowl of cooked broccoli with lemon and chili flakes.,bowl,broccoli,000000390757.jpg,2,5,92073
The black cat is wearing a little necktie.,tie,cat,000000261981.jpg,9,3,297363
A brown bear sitting on top of a floor near a window.,bear,window,000000233780.jpg,3,12,567391
A person taking a picture of a plate of food with a glass of milk.,person,plate,000000470547.jpg,2,8,658028
"A person with headphones on, sitting on a bench.",person,bench,000000205221.jpg,2,10,795982
A refrigerator that's being thrown out with the door removed.,door,refrigerator,000000167480.jpg,10,2,504474
A person waiting to get on a bus.,person,bus,000000032549.jpg,2,8,251718
A women who is looking at the door of a passenger train.,door,train,000000099081.jpg,8,12,789152
A seagull sitting on a car mirror near a beach.,mirror,car,000000509579.jpg,7,6,750508
A donut and cup of coffee sitting next to money on a table.,cup,donut,000000292579.jpg,4,2,357586
"A white bathroom features a sink, toilet and white tile.",toilet,sink,000000047409.jpg,8,6,214272
A black and white cat is resting on the couch,couch,cat,000000389718.jpg,10,5,208239
"Pizza with mushrooms spinach, tomato and cheese on a blue plate.",pizza,plate,000000041284.jpg,1,12,789784
A person on a modified bike is flying a kite in a field.,person,kite,000000338102.jpg,2,10,453290
"A plate of food with meant, potatoes, and broccoli.",broccoli,plate,000000432153.jpg,11,2,505983
this is a plate of shrimp and broccoli on a table,broccoli,plate,000000066209.jpg,8,4,758019
A young boy standing in front of a sink next to a toilet.,toilet,sink,000000153880.jpg,13,9,594008
A black cat with a girl sitting on the couch behind it.,couch,cat,000000439779.jpg,10,3,39204
a gray and white cat and its reflection in a mirror,cat,mirror,000000458631.jpg,5,11,189380
"Basin, mirror, and shower with door in white bathroom.",door,mirror,000000552297.jpg,8,3,523317
A man walks towards a car holding a kite.,kite,car,000000067975.jpg,9,6,138523
Three people are sitting on the couch holding a dog.,couch,dog,000000342340.jpg,7,10,726714
A dog in a bed that has sheets all over his head.,bed,dog,000000290753.jpg,5,2,725367
A cat standing in front of a mirror on a floor.,cat,mirror,000000460661.jpg,2,8,356094
A baby zebra grazes while a giraffe stands behind it. ,giraffe,zebra,000000447456.jpg,8,3,301402
A person in a green field flying a kite.,person,kite,000000148099.jpg,2,9,288598
A room with a door and a small refrigerator ,door,refrigerator,000000180490.jpg,5,9,745207
A man holding a teddy bear sitting in a chair ,chair,bear,000000120537.jpg,10,6,481813
A cat on a bed with its paws in a box.,bed,cat,000000176991.jpg,5,2,337440
A boy holding a toothbrush standing in the grass with a parked car behind him.,toothbrush,car,000000192407.jpg,5,13,724621
THERE IS A PERSON THAT IS RIDING THE BACK OF AN ELEPHANT ,elephant,person,000000550134.jpg,12,4,599174
"A black suitcase with writing on it, sitting in front of a door.",door,suitcase,000000004885.jpg,14,3,225554
A zebra and horse in the middle of a dirt field.,horse,zebra,000000561565.jpg,4,2,233144
"Two hot dogs, mac and cheese, noodles, and corn on a plate with a fork",fork,plate,000000445960.jpg,18,15,498052
An orange couch with wood arms in an outdoor courtyard.,couch,orange,000000358836.jpg,3,2,292711
Sandwich on a bun in a white plate with a blue rim.,sandwich,plate,000000528643.jpg,1,8,517107
A person grabbing a slice of pizza to eat,person,pizza,000000248878.jpg,2,7,44288
Two kids are sitting on the bed with a red chair.,chair,bed,000000159970.jpg,11,7,264128
A person on the side of a mounting about to take a spill on a snowboard.,person,snowboard,000000176155.jpg,2,16,62680
A plate with a slice of pizza on it sitting on a wooden table.,pizza,plate,000000317177.jpg,7,2,44089
A black dog standing next to a yellow frisbee. ,frisbee,dog,000000564483.jpg,9,3,225934
An empty chair in front of a cluttered desk.,chair,desk,000000096130.jpg,3,10,689223
The cat is sitting on top of the motorcycle.,motorcycle,cat,000000061403.jpg,9,2,381621
A person flying a large kite on a beach. ,person,kite,000000359805.jpg,2,6,637373
"A dog standing in a den with a couch, chairs, table and television.",couch,dog,000000511050.jpg,9,2,791987
Cute picture of white cat snuggled near older dog.,cat,dog,000000456376.jpg,5,10,92013
a chair and a bed in a room,chair,bed,000000330439.jpg,2,5,753585
A person using a snowboard in air over snow.,person,snowboard,000000135258.jpg,2,5,771097
"A snow covered ground outside of a yellow colored house, with a dog tied to an outdoor chair.",chair,dog,000000069077.jpg,19,14,474541
A person riding on top of an elephant on the street.  ,elephant,person,000000300246.jpg,8,2,764368
a big brown teddy bear with a bow sitting on a black and silver chair,chair,bear,000000448413.jpg,15,5,78748
A cat standing up on the side of a white toilet.,cat,toilet,000000117307.jpg,2,11,529017
A colorfully dressed person and a dog standing next to several bicycles and a scooter.,person,dog,000000082312.jpg,5,8,83957
"A dog is observing a small cake, probably for it. ",cake,dog,000000373396.jpg,7,2,332544
A dog that is laying down on a bed.,bed,dog,000000110013.jpg,9,2,423376
The dog is sleeping with his head on the arm of the chair. ,chair,dog,000000499225.jpg,13,2,240752
A woman with an umbrella sits on a bench checking her phone.,umbrella,bench,000000023392.jpg,5,9,811252
a close up of a sandwich on a plate,sandwich,plate,000000329616.jpg,6,9,486872
A ca standing next to a woman wearing a cat shoe.,shoe,cat,000000077355.jpg,11,10,401870
A man climbing a ladder on to an airplane in flight from a motorcycle.,motorcycle,airplane,000000408016.jpg,14,9,829630
A dog herding sheep in a grassy meadow.,sheep,dog,000000290269.jpg,5,2,222963
The living room contains a dog and a cat.,cat,dog,000000220053.jpg,9,6,3108
A boat is traveling on a river past a cow that is in the water.,boat,cow,000000143974.jpg,2,10,510925
This bathroom is small and has a toilet and a sink,toilet,sink,000000539026.jpg,8,11,145599
a person sitting at a table with plate of food outdoors,person,plate,000000360073.jpg,2,8,192037
White bathroom sink with a wooden mirror above it. ,mirror,sink,000000227241.jpg,7,3,168340
"A man in a trench coat, hat, and carrying an umbrella pointing to the shirt collar of another man.",umbrella,hat,000000147346.jpg,13,8,659282
Shot of person's feet wearing heels while standing on a toilet.,person,toilet,000000072746.jpg,3,12,186017
a person sitting on a bench while the rest look somehwere else,person,bench,000000227226.jpg,2,6,740963
An alarm clock is next to a remote control.,clock,remote,000000521222.jpg,3,8,309341
The small bathroom has a small sink and a toilet.,toilet,sink,000000162677.jpg,10,7,297682
a person wearing a tie with bottles on it,tie,person,000000093106.jpg,5,2,467897
An old teddy bear sitting on a chair leaning against the side,chair,bear,000000236740.jpg,8,4,6280
"A shirt, stuffed animal, book and pillows on top of a bed.",bed,book,000000169181.jpg,14,7,627175
The baby girl is eating a banana while sitting in her chair. ,chair,banana,000000090516.jpg,12,7,376210
People sitting on a park bench with a dog and baby stroller.,bench,dog,000000223888.jpg,6,9,19176
A motorcycle parked along a road with a truck driving by.,motorcycle,truck,000000094416.jpg,2,9,245283
"Broccoli, carrots, and noodles with peppers on a plate.",broccoli,plate,000000018785.jpg,1,11,31532
The bathroom has a dirty sink and white toilet,toilet,sink,000000430035.jpg,9,6,788700
a bathroom that has a toilet and a sink,toilet,sink,000000079193.jpg,6,9,726199
a person cutting a slice out of a large pizza ,person,pizza,000000258832.jpg,2,10,815377
A black and white cat sitting on top of a bed next to a cell phone.,bed,cat,000000163831.jpg,11,5,95746
A classic red car is sitting on a boat.,boat,car,000000382466.jpg,9,4,746972
A carrot cake with a cookie on top.,carrot,cake,000000232543.jpg,2,3,536133
A sandwich and a side salad are on a white plate.,sandwich,plate,000000421298.jpg,2,11,32909
A close-up of a cheese pizza on a plate.,pizza,plate,000000248402.jpg,8,11,132141
A sheep dog herds cattle in the field.,sheep,dog,000000456979.jpg,2,3,158950
person in a bear costume holding hands with woman,bear,person,000000010082.jpg,4,1,827221
A person on a motorcycle in traffic with cars,motorcycle,person,000000163474.jpg,5,2,373935
A young man wearing a white hat and sneakers doing a trick with his skateboard.,hat,skateboard,000000049069.jpg,7,15,739246
A boy with a three wheeled bicycle and this dog,bicycle,dog,000000127134.jpg,8,11,278355
some cars a truck a police car and some trees,truck,car,000000068125.jpg,4,7,647817
A grey cat sitting on car with trees in background.,cat,car,000000136123.jpg,3,6,802285
A young girl with a piece of pizza on a white plate,pizza,plate,000000328596.jpg,8,12,144140
A laptop computer sitting on top of a bed.,bed,laptop,000000477474.jpg,10,2,608288
Several trays of pizza surrounding a large cake.,cake,pizza,000000296544.jpg,8,4,393585
A marbled apple waiting to be sliced by a paring knife,apple,knife,000000036059.jpg,4,13,317832
"Colorful pasta dish on white plate including shrimp, carrots and broccoli.",broccoli,plate,000000365168.jpg,12,6,90428
A reclining lounge chair mounted on a bicycle.,chair,bicycle,000000002664.jpg,5,9,118063
A family is sitting on a bench while a dog lays in the road.,bench,dog,000000436288.jpg,7,10,78457
A man stares at his cat on the bathroom sink.,cat,sink,000000294943.jpg,6,10,39626
A young man eating a donut breakfast sandwich.,donut,sandwich,000000163197.jpg,6,8,566202
A photo of a clock in a train station.,train,clock,000000277550.jpg,8,5,225295
A black dog holding a red and green frisbee in it's mouth.,frisbee,dog,000000321810.jpg,9,3,518703
A dog licking his lips after tearing into a heeled shoe. ,shoe,dog,000000355761.jpg,12,2,23200
a boy sitting on a bench with a large backpack in front of him,backpack,bench,000000319605.jpg,10,6,263428
Dog and book in the foreground with other dogs in the background outside.,dog,book,000000022879.jpg,1,3,57919
An orange cat is has his head down,orange,cat,000000281213.jpg,2,3,112215
a first person view of A man with his feet up is watching a tv.,person,tv,000000278230.jpg,3,15,737401
A living room with chair and coffee table and a zebra patterned rug. ,chair,zebra,000000535874.jpg,5,11,212221
A lady laying across a bed on a laptop.,bed,laptop,000000221378.jpg,6,9,13174
A black and white photo of a person sitting looking out the window.,person,window,000000269234.jpg,8,13,69270
A vase of flowered branches sitting on a chair in a backyard.,chair,vase,000000472399.jpg,10,2,21911
There are two monitors and one laptop on the corner desk.,desk,laptop,000000227497.jpg,11,7,182087
A female looking out of a bus window at several giraffes. ,bus,window,000000360283.jpg,7,8,729152
Inside bathroom with a large clock face on the mirror.,mirror,clock,000000430287.jpg,10,6,448900
Person holding an umbrella in the shape of a frog. ,person,umbrella,000000436555.jpg,1,4,305746
A man in green jacket and striped tie waring a black hat.,tie,hat,000000111573.jpg,8,13,359377
Golden lab with smile sitting in the bed of a red pickup truck.,bed,truck,000000166995.jpg,8,13,65410
A small stuffed teddy bear sitting on a vase.,bear,vase,000000380299.jpg,5,9,494283
A person wearing a helmet rides a motorcycle.,motorcycle,person,000000223335.jpg,8,2,356362
A man in black jacket next to red motorcycle and orange van.,orange,motorcycle,000000546388.jpg,11,9,357231
Someone reading a book a bed with 3 cats laying around them.,bed,book,000000388348.jpg,6,4,715126
A cat laying inside of a suitcase with clothes.,cat,suitcase,000000333368.jpg,2,7,153703
A dog with its head sticking out of the window of a building looking towards the camera.,dog,window,000000282155.jpg,2,10,531483
A laptop computer sitting on a desk next to a desktop computer.,desk,laptop,000000217893.jpg,8,2,51488
There is a black car parked and a train passing in front of it,train,car,000000097998.jpg,9,5,91107
A bathroom with a large mirror over a bathroom sink.,mirror,sink,000000303537.jpg,6,10,222173
A woman holding a suitcase in front of man on a ramp to a boat.,suitcase,boat,000000348680.jpg,5,15,294795
A red car is parked next to a black truck.,truck,car,000000227484.jpg,10,3,360589
A woman in a hat laying back on a bench.,bench,hat,000000343257.jpg,10,5,96376
"A vase, picture and a bird statue on a table. ",vase,bird,000000347967.jpg,2,7,33575
a white dog on a chair looking a round,chair,dog,000000009904.jpg,6,3,722888
there is a very tall piece of cake that is on this plate,cake,plate,000000364911.jpg,8,13,817586
A person on a motorcycle sits on the side of the road.,motorcycle,person,000000094681.jpg,5,2,368019
A laptop on a desk with field notes,desk,laptop,000000078394.jpg,5,2,330928
A lighted candle on a desk with a clock and other items.,clock,desk,000000190945.jpg,9,6,54334
A white plate topped with a breakfast sandwich and has browns.,sandwich,plate,000000426146.jpg,8,3,446315
A cat stares at the action on a TV.,cat,tv,000000573726.jpg,2,9,235189
A person in the motion of stepping on a banana peal on the side of the road. ,person,banana,000000364097.jpg,2,10,43489
Hot dog with green topping sitting in a plate with a napkin. ,dog,plate,000000313399.jpg,2,9,267504
a bath room with a toilet and a sink,toilet,sink,000000167599.jpg,6,9,817794
a man standing next to a chair in the back of a truck,chair,truck,000000439306.jpg,7,13,600527
"A collection of meat, cheese, broccoli and jelly on an odd plate.",broccoli,plate,000000399618.jpg,8,14,252859
A person standing in a room next to a cake.,person,cake,000000438496.jpg,2,10,338405
A person on a horse standing in a dirt field.,horse,person,000000554138.jpg,5,2,425235
A cat curled up in a ceramic bowl on a kitchen table,cat,bowl,000000224168.jpg,2,8,538444
a white chair with a pair of orange scissors ,orange,chair,000000281122.jpg,8,3,424122
A black cat taking a drink out of a bright blue cup.,cat,cup,000000261333.jpg,3,12,269365
"A table with decorative objects on it, and a mirror that reflects a bed with colorful pillows",bed,mirror,000000344276.jpg,15,11,286328
a giraffe a zebra and some other animals,giraffe,zebra,000000538006.jpg,2,4,84090
A cat laying down with a can and a remote.,cat,remote,000000429040.jpg,2,10,241800
A dog is chasing after three running sheep.,sheep,dog,000000432038.jpg,8,2,517797
A clock attached to a building is shaped like a coffee cup.,cup,clock,000000064822.jpg,12,2,638429
A vase with a few large sticks in it next to a sink. ,vase,sink,000000040866.jpg,2,13,527252
a person laying on a surfboard in the ocean ,person,surfboard,000000452814.jpg,2,6,623664
The giraffe is standing under a umbrella. ,giraffe,umbrella,000000052360.jpg,2,7,582278
A bird sitting on the edge of a cup being held by someone's hand. ,cup,bird,000000437240.jpg,9,2,511876
A black and white dog catching a frisbee.,frisbee,dog,000000536112.jpg,8,5,561149
A glass plate topped with a sandwich and a salad next to fries.,sandwich,plate,000000469880.jpg,7,3,387232
"A close up of vegetables includes broccoli, carrot, and a turnip on a wooden board.",carrot,broccoli,000000050910.jpg,9,7,304884
A white plate holding a pizza with cheese and sauce.,pizza,plate,000000341411.jpg,6,3,388058
A slice of a chocolate cake on a paper plate.,cake,plate,000000190177.jpg,6,10,135437
a person flying a kite in the air in the water at a beach,person,kite,000000359977.jpg,2,5,114712
A person is standing in front a fence with an umbrella.,person,umbrella,000000332923.jpg,2,11,369090
Two women sitting at a table with a bowl of salad and a plate with hotdog.,bowl,plate,000000203112.jpg,9,14,357249
A picture of a tabby cat wearing a small tie for sale.,tie,cat,000000172020.jpg,10,6,245147
A green flower vase holding bright orange flowers.,orange,vase,000000289987.jpg,7,4,343655
a cup of coffee sits next to a panini sandwich on a counter,cup,sandwich,000000047720.jpg,2,10,829317
A bed covered in overstuffed comforters and pillows sits next to a window.,bed,window,000000431750.jpg,2,15,133898
A cute black and white dog laying on a bed.,bed,dog,000000119581.jpg,10,6,256323
"A person sitting on a bench, looking at a field and skyline.",person,bench,000000321382.jpg,2,6,706485
A girl stretches her legs above her head while a cat and dog look on.,cat,dog,000000124122.jpg,11,13,688446
a bath room with a toilet a shower and a mirror,mirror,toilet,000000561988.jpg,11,6,330545
a person that is standing up holding a snowboard,person,snowboard,000000117403.jpg,2,9,797582
"a bathroom with a sink, toilet and some towels",toilet,sink,000000358825.jpg,7,5,280811
a white dog with a collar with a red frisbee,frisbee,dog,000000388434.jpg,10,3,403012
a woman wearing eye glasses and a hat and holding an umbrella,umbrella,hat,000000239828.jpg,12,8,283408
"A person flies a kite on a large brown plain in a blue, cloud-bedecked sky.",person,kite,000000496092.jpg,2,5,23859
A large train station with a massive clock mounted to it's wall.,train,clock,000000416095.jpg,3,8,95237
A small elephant standing next to a white bird.,elephant,bird,000000046761.jpg,3,9,260748
A boy touches a frog on an orange Frisbee.,orange,frisbee,000000153013.jpg,8,9,66827
A person a snowboard in the air doing a trick.,person,snowboard,000000574343.jpg,2,4,181124
A young person who is riding a good wave on a surfboard. ,person,surfboard,000000075783.jpg,3,12,442942
"A sink, toilet and tub in a small hotel bathroom.",toilet,sink,000000124133.jpg,4,2,304799
A laptop sitting on a table in the middle of a desk.,desk,laptop,000000031016.jpg,12,2,745730
A black cat lies atop a suitcase with a dresser in the background.,cat,suitcase,000000045830.jpg,3,7,45135
A wedding cake is topped with a bride and groom and train sculpture.,train,cake,000000416149.jpg,12,3,144678
A big dog laying on a woman while she lays on a couch. ,couch,dog,000000221840.jpg,13,3,606546
A plate of stir fried vegetables has a fork in it.,fork,plate,000000282070.jpg,9,2,11015
A chair and umbrella on a sandy beach.,chair,umbrella,000000490443.jpg,2,4,277881
A woman is holding a dog while on the couch.,couch,dog,000000133690.jpg,10,6,63102
A cow and a horse stare at the camera.,horse,cow,000000060599.jpg,5,2,534335
A baby sitting in a highchair eating piece of cake.,chair,cake,000000461870.jpg,7,11,435761
"A bowl of vegetable soup, with a spoon and chopsticks.",spoon,bowl,000000451409.jpg,9,2,346373
Fish sticks and broccoli on a white and blue plate.,broccoli,plate,000000446036.jpg,4,10,629093
A small cat standing underneath an umbrella on a table.,cat,umbrella,000000249952.jpg,3,7,712463
a mirror on the wall showing a reflection of train and a wall,train,mirror,000000264957.jpg,10,2,78732
there is a small dog that is walking besides a large horse,horse,dog,000000102915.jpg,12,5,677125
there is a drawing on a window of a bus,bus,window,000000192764.jpg,10,7,450371
A brown and white dog standing next to a white and gray cat.,cat,dog,000000190572.jpg,13,5,131683
A woman in a short skirt holding a plate filled with cake.,cake,plate,000000552472.jpg,12,9,137322
Bench and window with shutters with bricked wall,bench,window,000000197941.jpg,1,3,377082
"A dog's head resting on an upholstered arm, next to a laptop computer.",laptop,dog,000000038616.jpg,15,2,89727
A person laying on crate on the back of an elephant.,elephant,person,000000006873.jpg,11,2,349901
A full view of a teddy bear sitting on the small chair. ,chair,bear,000000296859.jpg,12,7,491617
A teddy bear cake with a candle and sparklers.,bear,cake,000000061647.jpg,3,4,694349
an orange trolley car sitting on the side of the road,orange,car,000000203110.jpg,2,4,592557
Toy bear in a Santa costume sitting next to a window. ,bear,window,000000494072.jpg,2,11,25443
A crowd is watching a dog with a frisbee.,frisbee,dog,000000191280.jpg,9,6,383952
a close up of a dog laying on a bed with pillows,bed,dog,000000214518.jpg,10,6,483850
a white dog is sleeping on the couch,couch,dog,000000393857.jpg,8,3,589643
a person jumping a skateboard in the air,person,skateboard,000000014244.jpg,2,5,363839
a half eaten slice of pizza on a plate,pizza,plate,000000446006.jpg,6,9,21567
A person is in the water with a kite.,person,kite,000000107683.jpg,2,9,288294
"A bathroom with floral wallpaper, a vanity mirror and sink.",mirror,sink,000000272385.jpg,9,11,165610
A hot dog sits on a plate of food.,dog,plate,000000315278.jpg,3,7,763884
Two cats sleep on top of a laptop keyboard.,laptop,keyboard,000000092480.jpg,8,9,694822
"A white bathroom with a white sink, toilet and bathtub.",toilet,sink,000000371997.jpg,9,7,323507
A mouse not connected to anything sitting on top of a keyboard.,mouse,keyboard,000000183980.jpg,2,12,742684
A dog sleeps in the window of a building covered in ivy.,dog,window,000000205531.jpg,2,6,303429
a person laying in a bed with two dogs ,bed,person,000000075768.jpg,6,2,569237
"A man on skis wears orange boots, a green jacket and a yellow backpack.",orange,backpack,000000420775.jpg,6,15,633301
A person in a field flying a kite.,person,kite,000000012497.jpg,2,8,285702
Man riding orange and black motorcycle tilted to the side.,orange,motorcycle,000000429266.jpg,3,6,204522
A cat laying on top of a laptop computer.,cat,laptop,000000040419.jpg,2,8,540728
A dog laying in the grass under the bumper of a car.,dog,car,000000459712.jpg,2,12,134998
A large knife slicing a cake covered in coconut.,cake,knife,000000285358.jpg,7,3,814110
a black cat in a book shelf near a corner ,cat,book,000000278086.jpg,3,6,115324
A person's left hand holding a hot dog with mustard.,person,dog,000000045283.jpg,2,9,721154
"A picture of toilet, wash basin and mirror in small bathroom.",mirror,toilet,000000333583.jpg,9,4,371922
Looking out the window past a modern office desk ,desk,window,000000254420.jpg,9,4,471949
